Nombre,Precio,Media,Total_puntos,posicion,link_equipo
T. Courtois,↑ 600.000,"0,0",0,1,https://cdn.gomister.com/file/cdn-common/teams/15.png?version=20240121
A. Moreno,↑ 1.040.000,"2,4",36,2,https://cdn.gomister.com/file/cdn-common/teams/20.png?version=20240121
Á. Pozo,↓ 283.000,"2,1",31,2,https://cdn.gomister.com/file/cdn-common/teams/21.png?version=20240121
A. Rațiu,↓ 160.000,"3,5",14,2,https://cdn.gomister.com/file/cdn-common/teams/14.png?version=20240121
R. Visus,↑ 201.000,"2,0",2,2,https://cdn.gomister.com/file/cdn-common/teams/4.png?version=20240121
A. Diao,↑ 4.752.000,"4,5",58,3,https://cdn.gomister.com/file/cdn-common/teams/4.png?version=20240121
B. Zaragoza,↓ 11.176.000,"5,9",113,3,https://cdn.gomister.com/file/cdn-common/teams/10.png?version=20240121
L. Agoumé,↑ 1.395.000,"0,0",0,3,https://cdn.gomister.com/file/cdn-common/teams/17.png?version=20240121
R. Kouamé,↓ 215.000,"2,5",25,3,https://cdn.gomister.com/file/cdn-common/teams/499.png?version=20240121
M. Sanca,160.000,"1,2",6,4,https://cdn.gomister.com/file/cdn-common/teams/21.png?version=20240121
R. Martí,↓ 1.643.000,"4,1",66,4,https://cdn.gomister.com/file/cdn-common/teams/499.png?version=20240121
