Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Isco,Real Betis,77.507.740,110,14,1144,2,2,7,33,2,28,15,68,245,0,15,0,0,0,4,0,0,0,0
Rodrygo,Real Madrid,61.745.345,105,14,969,5,4,2,7,1,28,16,36,129,1,9,0,0,0,0,0,1,0,0
Pedri,FC Barcelona,54.155.984€,34,5,358,1,0,4,2,1,7,3,18,58,0,2,0,0,0,2,0,0,0,0
Pepelu,Valencia CF,35.512.140€,87,14,1087,1,4,9,27,3,13,13,40,176,2,17,0,0,0,4,0,0,0,0
Joselu,Real Madrid,38.141.880€,75,14,873,6,0,0,1,9,8,13,46,128,0,9,0,0,1,1,0,0,0,0
Gavi,FC Barcelona,24.012.680€,59,14,1025,5,0,3,2,4,7,14,30,78,0,26,0,0,0,1,0,0,0,0
Koke,Atlético de Madrid,14.577.653€,54,9,562,0,1,2,0,7,23,3,60,95,0,7,0,0,0,2,0,0,0,0
Raphinha,FC Barcelona,11.340.119€,41,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suso,Sevilla FC,4.422.081€,57,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandro,UD Las Palmas,1.032.002€,25,11,338,2,0,2,2,3,4,4,14,48,0,5,0,0,0,3,0,0,0,0
Bebé,Rayo Vallecano,524.783€,28,14,78,2,0,0,3,0,7,4,7,31,0,1,0,0,0,1,0,0,0,0
A. Rebbach,Deportivo Alavés,481.566€,33,14,291,1,0,1,6,1,4,3,15,60,0,4,0,0,0,0,0,0,0,0
Chumi,UD Almería,477.674€,30,14,469,0,0,1,1,5,7,2,25,35,0,7,0,0,0,1,0,0,0,0
Fernando,Sevilla FC,690.178€,20,11,289,0,0,0,0,4,2,2,28,36,0,4,0,0,0,2,0,0,0,0
Juanpe,Girona FC,508.013€,9,13,118,0,0,0,0,16,0,0,3,11,0,2,0,0,0,2,0,0,0,0
Pejiño,UD Las Palmas,511.000€,24,10,448,0,1,1,5,13,2,0,28,53,0,6,0,0,0,0,1,0,0,0
