Nombre,Posicion,Puntos,Precio
J. Bellingham,mediocentro,127.6384392442353,19461801.666666668
Isco,mediocentro,118.73279963384567,17585362.589285713
B. Zaragoza,mediocentro,105.93759476959559,15544168.422619047
F. De Jong,mediocentro,97.55919321248922,11290490.0
V. Tsygankov,mediocentro,88.37712786674439,14528803.063375352
Y. Herrera,mediocentro,87.41916055464473,14002004.50245098
B. Méndez,mediocentro,86.21993977542395,14118236.00840336
I. Martín,mediocentro,85.4824493353085,10653294.098670516
I. Ruiz De Galarreta,mediocentro,84.97870600919018,9880696.775553474
P. Barrios,mediocentro,83.53053191939108,10090754.025405465
